company,metric,year,value
Dabur,raw_psit,FY20,674.62
Dabur,raw_psit,FY21,982.53
Dabur,raw_psit,FY22,882.12
Dabur,raw_psit,FY23,1052.49
Dabur,raw_psit,FY24,1211.11
Dabur,raw_psit,FY25,1328.28
Dabur,raw_chg,FY19,12.64
Dabur,raw_chg,FY20,-65.04
Dabur,raw_chg,FY21,-207.2
Dabur,raw_chg,FY22,-8.55
Dabur,raw_chg,FY23,-90.79
Dabur,raw_chg,FY24,48.95
Dabur,raw_chg,FY25,-57.1
Dabur,raw_fc,FY19,59.58
Dabur,raw_fc,FY20,49.54
Dabur,raw_fc,FY21,30.81
Dabur,raw_fc,FY22,38.6
Dabur,raw_fc,FY23,78.24
Dabur,raw_fc,FY24,124.18
Dabur,raw_fc,FY25,163.5
Dabur,raw_da,FY19,176.9
Dabur,raw_da,FY20,220.45
Dabur,raw_da,FY21,240.13
Dabur,raw_da,FY22,252.89
Dabur,raw_da,FY23,310.96
Dabur,raw_da,FY24,399.21
Dabur,raw_da,FY25,445.6
Dabur,raw_pbeit,FY19,1800.21
Dabur,raw_pbeit,FY20,1827.64
Dabur,raw_pbeit,FY21,2056.02
Dabur,raw_pbeit,FY22,2353.68
Dabur,raw_pbeit,FY23,2218.68
Dabur,raw_pbeit,FY24,2358.74
Dabur,raw_pbeit,FY25,2257.89
Dabur,raw_np,FY19,1442.33
Dabur,raw_np,FY20,1444.96
Dabur,raw_np,FY21,1693.3
Dabur,raw_np,FY22,1739.22
Dabur,raw_np,FY23,1707.15
Dabur,raw_np,FY24,1842.68
Dabur,raw_np,FY25,1767.63
Dabur,raw_inv,FY19,1300.53
Dabur,raw_inv,FY20,1379.57
Dabur,raw_inv,FY21,1734.28
Dabur,raw_inv,FY22,1911.37
Dabur,raw_inv,FY23,2024.2
Dabur,raw_inv,FY24,1946.97
Dabur,raw_inv,FY25,2300.11
Dabur,raw_tr,FY19,833.56
Dabur,raw_tr,FY20,813.89
Dabur,raw_tr,FY21,561.58
Dabur,raw_tr,FY22,646.15
Dabur,raw_tr,FY23,848.75
Dabur,raw_tr,FY24,898.72
Dabur,raw_tr,FY25,888.5
Dabur,raw_tp,FY19,1455.43
Dabur,raw_tp,FY20,1482.15
Dabur,raw_tp,FY21,1915.26
Dabur,raw_tp,FY22,2017.95
Dabur,raw_tp,FY23,2186.61
Dabur,raw_tp,FY24,2421.71
Dabur,raw_tp,FY25,2825.34
Dabur,raw_ta,FY19,8436.64
Dabur,raw_ta,FY20,9354.01
Dabur,raw_ta,FY21,10847.13
Dabur,raw_ta,FY22,12284.53
Dabur,raw_ta,FY23,13654.37
Dabur,raw_ta,FY24,15122.68
Dabur,raw_ta,FY25,16232.28
Dabur,raw_tcl,FY19,2660.31
Dabur,raw_tcl,FY20,2463.88
Dabur,raw_tcl,FY21,2934.19
Dabur,raw_tcl,FY22,3322.54
Dabur,raw_tcl,FY23,3609.43
Dabur,raw_tcl,FY24,3930.43
Dabur,raw_tcl,FY25,4318.44
HUL,COGS,FY19,18474.0
HUL,COGS,FY20,18259.0
HUL,COGS,FY21,22148.0
HUL,COGS,FY22,25735.0
HUL,COGS,FY23,31716.0
HUL,COGS,FY24,29760.0
HUL,COGS,FY25,30578.0
HUL,GP,FY19,20836.0
HUL,GP,FY20,21524.0
HUL,GP,FY21,24880.0
HUL,GP,FY22,26711.0
